Date,Category,Subcategory,Count,Days_To_Fix
2023-01-01,Quick Wins,Password Policy Automation,2,7
2023-01-01,Quick Wins,Database Connection Pooling,2,6
2023-01-01,Quick Wins,Basic Security Patch Automation,2,8
2023-01-01,Quick Wins,Automated Error Log Analysis,2,7
2023-01-01,Quick Wins,Basic Firewall Rule Optimization,1,5
2023-01-01,Fill-ins,Email Signature Template Updates,1,2
2023-01-01,Executive Support,Executive Travel System Critical Issues,1,1
2023-01-01,Business Operations,Payroll Processing System Failures,3,10
2023-01-01,Business Operations,Expense Management Critical Issues,3,5
2023-01-01,User Support High,Remote Access Critical VPN Problems,4,3
2023-01-01,User Support Standard,Email Configuration Standard Support,5,2
2023-01-02,Quick Wins,Automated Backup Monitoring,2,7
2023-01-02,Quick Wins,Load Balancer Health Checks,1,4
2023-01-02,Quick Wins,Memory Usage Alert Thresholds,4,4
2023-01-02,Quick Wins,Automated Error Log Analysis,1,5
2023-01-02,Fill-ins,Basic Hardware Inventory Updates,1,2
2023-01-02,Fill-ins,Wi-Fi Password Distribution Updates,1,3
2023-01-02,Fill-ins,Equipment Asset Tag Updates,2,2
2023-01-02,Fill-ins,Equipment Cable Management,4,2
2023-01-02,Fill-ins,Simple User Guide Updates,2,2
2023-01-02,Executive Support,Board Meeting Technology Setup,2,1
2023-01-02,Executive Support,Strategic Reporting System Failures,3,2
2023-01-02,Executive Support,Leadership Portal Access Problems,3,1
2023-01-02,Business Operations,Asset Management System Issues,1,3
2023-01-02,User Support High,Sales Team Critical CRM Access Issues,4,3
2023-01-02,User Support High,Finance Team System Access Problems,7,2
2023-01-02,User Support High,Department Manager System Access Issues,1,4
2023-01-02,User Support High,Revenue Team Critical System Problems,3,3
2023-01-02,User Support Standard,Phone System Basic Setup,6,1
2023-01-02,User Support Standard,Basic Training Standard Sessions,12,1
2023-01-03,Quick Wins,Database Connection Pooling,4,7
2023-01-03,Quick Wins,Basic Security Patch Automation,1,6
2023-01-03,Quick Wins,Automated Error Log Analysis,2,3
2023-01-03,Fill-ins,Meeting Room Equipment Basic Maintenance,1,3
2023-01-03,Fill-ins,Wi-Fi Password Distribution Updates,1,2
2023-01-03,Fill-ins,Equipment Asset Tag Updates,2,2
2023-01-03,Fill-ins,Equipment Cable Management,1,2
2023-01-03,Thankless Tasks,Legacy Report Format Manual Conversions,2,47
2023-01-03,Critical Infrastructure,Primary Payment System Total Failure,1,2
2023-01-03,Executive Support,Board Meeting Technology Setup,2,1
2023-01-03,Executive Support,Executive Communication Platform Issues,2,2
2023-01-03,Executive Support,Leadership Portal Access Problems,4,1
2023-01-03,Business Operations,Benefits Administration Critical Issues,4,11
2023-01-03,Business Operations,Invoice Processing System Problems,3,6
2023-01-03,Business Operations,Travel Booking System Major Problems,1,4
2023-01-03,User Support High,Production Team System Down Issues,1,2
2023-01-03,User Support High,Remote Access Critical VPN Problems,2,2
2023-01-03,User Support High,Critical Project Team Tool Failures,2,4
2023-01-03,User Support High,Key Client Presentation System Issues,3,1
2023-01-03,User Support Standard,Software Installation Basic Help,1,2
2023-01-03,User Support Standard,Email Configuration Standard Support,2,2
2023-01-03,User Support Standard,Printer Setup Basic Assistance,7,1
2023-01-03,User Support Standard,Mobile Device Standard Configuration,5,2
2023-01-04,Quick Wins,Self-Service Portal Implementation,3,8
2023-01-04,Quick Wins,Certificate Expiration Alerts,1,5
2023-01-04,Quick Wins,Log Rotation Automation,3,3
2023-01-04,Quick Wins,Memory Usage Alert Thresholds,2,5
2023-01-04,Quick Wins,Service Health Dashboard,1,8
